Estado;Município;Unidade de Saúde;Endereço;Contato;CNES
Distrito Federal;Santa Maria;Hospital Regional de Santa Maria;Avenida dos Alagados, Quadra AC 102, Blocos A, B, C e D, s/n;(61) 4042- 7770;5717515
Distrito Federal;Sobradinho;Hospital Regional de Sobradinho;Quadra 12 - Área Especial;(61) 3449- 5630;10502
Distrito Federal;Taguatinga;Hospital Regional de Taguatinga;QNC – Área Especial 24;(61)3449- 6668;10499
Espírito Santo;Afonso Cláudio;Hosp. São Vicente de Paulo - HSVP;Avenida José Giestas, 63 - Centro;(27) 3735-1699;2402874
Espírito Santo;Alegre;Pronto Atendimento Municipal de Alegre - PAM;Rua Olivio Correia Pedrosa, s/n - Centro;(28) 3552-2153;2448025
Espírito Santo;Alfredo Chaves;Pronto Atendimento Municipal Klinger Minassa;Rua Moacir Saudino, s/n - Centro;(27) 3269-2315;3743772
Espírito Santo;Anchieta;Hospital Padre Humberto - MEPES;Rua Costa Pereira, 129 - Centro;(28) 3536-1151;2499568
Espírito Santo;Aracruz;Hospital e Maternidade São Camilo - HMSC;Rua Manoel Pereira, 300 - Vila Rica;(27) 3256-9700;2770326
Espírito Santo;Atílio Vivacqua;Hospital Dra. Andrea Canzian Lopes - HDACL;Rua Capitão Jovino Alves Pedra, 20 - Niterói;(28) 3538-1219;2485397
Espírito Santo;Baixo Guandu;Hosp. Dr. João dos Santos Neves - HDJSN;Rua Dr. Hugo Lopes Nalle, 319 - Centro;(27) 3732-2900;2675714
Espírito Santo;Barra de São Francisco;Hospital Estadual Alceu Melgaço Filho;Rua Pref. Manoel Gonçalves, 825 - Centro;(27) 3756-8455;2445956
Espírito Santo;Boa Esperança;Hospital e Maternidade Cristo Rei - HMCR;Avenida Senador Eurico Rezende, 848 - Centro;(27) 3768-1162;2485249
Espírito Santo;Cachoeiro de Itapemirim;Hospital Infantil Francisco de Assis - HIFA;Rua Coronel Guardia, 100 - Centro;(28) 2101-5656;2485729
Espírito Santo;Cachoeiro de Itapemirim;Unidade de Pronto Atendimento Dr. Antonio Jorge Abib Netto;Rua Horaci Amarante Matos, s/n - Marbrasa;(28) 3518-4136;9132813
Espírito Santo;Castelo;Hospital Municipal de Castelo;Rua Antônio Bento, 112 - Centro;(28) 3542-1591;6823351
Espírito Santo;Colatina;Hospital e Maternidade Sílvio Avidos - HSA;Rua Cassiano Castelo, 307 - Centro;(27) 3721-7929;2446030
Espírito Santo;Colatina;Hospital e Maternidade São José;Ladeira Cristo Rei, 514 - Perpétuo Socorro;(27) 2102-2100/2102;2448521
Espírito Santo;Conceição da Barra;Hospital Nossa Senhora da Conceição - HNSC;Rua Prefeito Ítalo Benso, 735 - Centro;(27) 3762-3608;2483939
Espírito Santo;Conceição do Castelo;Hosp. Municipal N. S. da Penha - HMNSP;Rua José Oliveira de Souza, 300 - Pedro Rigo;(27) 3547-1144;2630079
Espírito Santo;Domingos Martins;Hosp. e Mat. Arthur Gerardt - SCV;Avenida Koehler, 230 - Centro;(27) 3268-1499;2402882
Espírito Santo;Ecoporanga;Fund. Med. Assist. do Trab. Rural de Ecoporanga - FUMATRE;Rua Idalina Monteiro, 195 - Nossa Senhora Aparecida;(27) 3755-1131;2484676
Espírito Santo;Fundão;Hospital Dr. César Agostini - HDCA;Avenida César Pegoretti, s/n - Centro;(27) 3267-1840;2626748
Espírito Santo;Guaçuí;Pronto Atendimento Lionizio Goncalves da Rocha;Rua Eugenio de Souza Paixão, s/n - Quincas Machado;(28) 3553-0479;3480550
Espírito Santo;Guarapari;Unidade de Pronto Atendimento II Dr João Batista de Almeida Neto;Rua Cachoeiro de Itapemirim, s/n - Ipiranga;(27) 3261-6989;2466422
Espírito Santo;Ibatiba;Pronto Atendimento Municipal Eliana S. T. Carvalho;Rua Nossa Senhora do Rosário, s/n - Centro;(28) 3543-1136;6517862
Espírito Santo;Irupi;Pronto Atendimento Municipal de Irupi;Rua João Costa, 570 - João Tomaz;(28) 3548-1101;6487874
Espírito Santo;Itaguaçu;Hosp. N. S. da Boa Família - HNSBF;Alameda Matheus Antônio Prederigo, 01 - Centro;(27) 3725-1105;2445085
Espírito Santo;Itapemirim;Hospital Evangélico de Itapemirim - HEI;Avenida Cristiano Dias Lopes Filho, s/n - Centro;(28) 3529-6277;6945368
Espírito Santo;Itarana;Hospital São Bráz - HSB;Rua Pascal Marques, 300 - Centro;(27) 3720-1759;2629992
Espírito Santo;Iúna;Santa Casa de Iúna - SCI;Avenida Tancredo Neves, 381 - Niterói;(28) 3545-1213;2650533
Espírito Santo;Jaguaré;Unidade Mista de Internação - UMI;Rua Paschoal Brioschi, 319 - Centro;(27) 3769-1768;2484269
Espírito Santo;Jerônimo Monteiro;Hospital de Jerônimo Monteiro - UIJM;Avenida Dr. José Farah, 34 - Centro;(28) 3558-1133;2403242
Espírito Santo;João Neiva;Hospital e Maternidade Sagrado Coração de Maria;Rua Eurico Sales, 110 - Centro;(27) 3258-1050;2447894
Espírito Santo;Laranja da Terra;Hospital Municipal São João Batista;Avenida Germano Stabenow, s/n - Centro;(27) 3372-3043/1965;3007472
Espírito Santo;Linhares;Hospital Geral de Linhares - HGL;Rua Monsenhor Pedrinha, 800 - Araçá;(27) 3736-1323/1390;7327404
Espírito Santo;Mantenópolis;Pronto Atendimento Municipal - PAM;Rua Jaime dos Santos Neves, 1 - Centro;(27) 3758-2255;2465825
Espírito Santo;Marataízes;Pronto Atendimento da Barra;Avenida Simão Soares, s/n - Barra do Itapemirim;(28) 3532-5856;2547392
Espírito Santo;Marilândia;Pronto Atendimento de Marilandia - Policlínica Vereador Elio Bertolo;Rua Angela Saverginni, 265 - Centro;(27) 3724-2970/2983;2484633
Espírito Santo;Mimoso do Sul;Hospital Apóstolo Pedro - HAP;Rua Cecilino de Melo Portinho, 193 - Centro;(28) 3555-1566;2448173
Espírito Santo;Montanha;Hospital e Maternidade Nossa Sra. Aparecida - HMNSA;Avenida Antônio Paulino, 1060 - Centro;(27) 3754-1215;2483998
Espírito Santo;Mucurici;Hospital São João Batista;Rua Coronel Vindilino Lima, 117 - Centro;(27) 3751-1331;2702800
Espírito Santo;Muniz Freire;Hospital Santa Casa de Misericórdia Jesus, Maria e José - HSCJMJ;Rua Ercílio José Areias, 66 - Centro;(28) 3544-1147;2547090
Espírito Santo;Muqui;Hospital Maternidade Dr. Aluisio Filgueiras;Rua João Jacinto, 316 - Centro;(28) 3544-1339;2446782
Espírito Santo;Nova Venécia;Hospital São Marcos - HSM;Rua Paraná, 164 - Beira-Rio;(27) 3383-7200;2484943
Espírito Santo;Pancas;Hospital e Maternidade de Pancas;Rua Espírito Santo s/n - Bairro Operário;(27) 3726-1201;2448645
Espírito Santo;Pedro Canário;Hospital Menino Jesus - HMJ;Praça Presidente Castelo Branco, 90 - Centro;(27) 3764-1101;2678233
Espírito Santo;Pinheiros;Hospital Municipal de Pinheiros - HP;Rua Dr. Lobato, s/n - Centro;(27) 3765-2155;2484366
Espírito Santo;Presidente Kennedy;Pronto Atendimento Municipal de Presidente Kennedy - PAM;Rua Sebastião Vieira de Menezes, 100 - Centro;(28) 3535-1105;2548119
Espírito Santo;Rio Bananal;Hospital e Maternidade Alfredo Pinto Santana;Rua João Cipriano, 500 - São Sebastião;(27) 3265-1101;2494345
Espírito Santo;Santa Leopoldina;Hospital Evangélico de Santa Leopoldina - HESL;Ladeira Vereadora Rosalina Ribeiro Nunes, 1000;(27) 3266-1131;2599899
Espírito Santo;Santa Maria de Jetibá;Hospital Evangélico de Santa Maria de Jetibá;Rua Hermann Miertschink, 210 - Centro;(27) 3263-3777;2569213
Espírito Santo;Santa Teresa;Hospital Madre Regina Prottmann;Avenida das Acácias, 417 - Jardim da Montanha;(27) 3259-1113;2532190
Espírito Santo;São Domingos do Norte;Pronto Atendimento Eugenio Malacarne;Rua Valeriano Sebastião Pagani, s/n - Centro;(27) 3742-1034;2445638
Espírito Santo;São Gabriel da Palha;Hospital Dr Fernando Serra - HFS;Rua 14 De Maio, 90 - Centro;(27) 3727-1387;27271387
Espírito Santo;São José do Calçado;Hospital São José;Rua Dr. José Fernando, s/n - Centro;(28) 3556-2800;2448807
Espírito Santo;São Mateus;Hospital Roberto A. Silvares - HRAS;Othovarino Duarte Santos, Km 02 - Parque Washington;(27) 3767-7540;2547317
Espírito Santo;São Roque do Canaã;Unidade de Saúde Ethevaldo Francisco Roldi;Rua Olivio Perini, 107 - Cinco Casinhas;(27) 3729-1775;2569191
Espírito Santo;Serra;Hospital Estadual Jayme dos Santos Neves;Avenida Paulo Pereira Gomes, s/n - Morada de Laranjeiras;(27) 3331-7500;7257406
Espírito Santo;Venda Nova do Imigrante;Hospital Padre Máximo - HPM;Avenida Lourenço Zandonade, 880 - Vila Betania;(28) 3546-1131;2403331
Espírito Santo;Vila Valério;Pronto Atendimento Maria do Carmo Tom Dalmagro;Avenida Benedito Alves Soares, s/n - Santa Rita;(27) 3728-1040;6674593
Espírito Santo;Vila Velha;Hosp. Estadual Infantil e Maternidade Alzir Bernadino Alves - HEIMABA;Avenida Ministro Salgado Filho, 918 - Soteco;(27) 3636-3187;2678179
Goiás;Acreúna;Hospital Público Municipal Rosulino Campos B. de Minas;Avenida São Felipe Area Remanescente S/N Setor Campestre;(64) 3645-8010;2437570
Goiás;Água Fria de Goiás;Centro de Saúde de Água Fria de Goiás;Rua Zaida Pinto Boaventura, s/n - Centro;(62) 3464-1342;2361507
Goiás;Alexânia;Hospital Municipal de Alexânia;Praça Araguaia, 15 - Centro;(62) 3336-1903;2762544
Goiás;Alto Paraiso de Goiás;Hospital Municipal Gumercino Barbosa Paraisinho;Rua São José Operário, s/n - Paraisinho;(62) 3446-2102;2342073
Goiás;Alvorada do Norte;Unidade Mista Hospitalar de Alvorada do Norte;Rua 02, s/n - Centro;(62) 3421-1085;2534916
Goiás;Anápolis;Hospital Municipal Alfredo Abrahão;Rua P-032, S/N Quadra 21 Jardim Progresso;(62) 3902-2753;2361744
Goiás;Aporé;Hospital Municipal Dr. José Quaranta Filho;Avenida João Nunes, 301 - Centro;(64) 3644-1164;2442752
Goiás;Barro alto;Hospital Municipal de Barro Alto;Avenida Pedra de Fogo, s/n - Alfredo Sebastião BA;(62) 3347-6608/6622;2381885
Goiás;Bom Jardim de Goiás;Hospital Municipal Santa Clara Bom Jardim de Goiás;Rua Goiânia, s/n - Centro;(64) 3657-1513;2535238
Goiás;Bom Jesus de Goiás;Hospital Municipal José Rezende de Bom Jesus;Rua Itumbiara, 91 - Setor Dona Eleontina;(64) 3608-600/8300;3354423
Goiás;Cabeceiras;Hospital Municipal de Cabeceiras;Avenida Presidente Juscelino, s/n - Parque São João;(61) 3636-1512/1459;2437597
Goiás;Caçú;Hospital Municipal Pedro Martins de Souza;Rua Candida Maria Guimarães, 839 - Centro;(64) 3656-6020;2383489
Goiás;Caiapônia;Hospital Municipal Adão Nazir Martins Silva;Rua Dom Pedro I Esq./ Av Américo Ferna, s/n - Vila Nova;(64) 3663-1043;9135499
Goiás;Caldas Novas;UPA Unidade de Pronto Atendimento;Rua Professor Josino Bretas Esq./ Rua Dr. Ciro Palmerston, 1 - Centro;(64) 3453-0022;7064578
Goiás;Campinorte;Hospital Municipal de Campinorte;Avenida Central, s/n - Centro;(62) 3447-3421;2384086
Goiás;Campos Belos;Hospital Municipal de Campos Belos;Rua Desembargador Rua Miranda, s/n - Centro;(62) 3451-2739;2383233
Goiás;Castelândia;Hospital Municipal Luiza de Souza Ramos;Avenida Rio Verde, 2197 - Centro;(64) 3649-1390;2437996
Goiás;Catalão;UPA Catalão;Avenida Dr. Lamartine Pinto de Avelar, 1800 - Setor Universitário;(64) 3441-2304;7977123
Goiás;Cavalcante;Hospital Municipal de Cavalcante;Avenida Elias Jorge, Qd. 68, s/n - Centro;(62) 3494-1013;2382709
Goiás;Ceres;UPA Unidade de Pronto Atendimento;Rua 14 Nº 172 Centro;(62) 3323-1549;2337576
Goiás;Chapadão do Céu;Hospital Municipal Santa Luzia;Avenida Orion, Qd. 43, s/n - Centro;(64) 3634-1261;2438410
Goiás;Cocalzinho de Goiás;Hospital Municipal Jair Paiva;Avenida São Paulo Esq./ 3 de Julho, s/n - Centro;(62) 3339-1720;2361868
Goiás;Colinas do Sul;Hospital Municipal Malvina Herculano Sizervinsk;Rua Minas Gerais, Qd. 75, Lt. 17 - Centro;(62) 3486-1179;2534932
Goiás;Corumbaíba;Hospital Municipal de Corumbaíba;Rua 5, s/n - Centro;(64) 3447-7029;2436906
Goiás;Cristalina;Hospital Municipal de Cristalina Chaud Salles;Avenida Kaled Cosac, 540 - Centro;(61) 3612-1010;2383896
Goiás;Crixás;Hospital Municipal de Crixás;Praça Inácio José Campos, 06 - Centro;(62) 3365-1088/1390;2507420
Goiás;Divinopolis de Goiás;Hospital Municipal Mãe Roberta;Rua Duque de Caxias, s/n - Centro;(62) 99951-7397;2571218
Goiás;Doverlândia;Hospital Municipal Ariston Soares da Rocha;Avenida Rio do Peixe, s/n - Centro;(64) 3664-2025;2441845
Goiás;Flores de Goiás;Hospital Municipal de Flores de Goiás;Rua 06, s/n - Novas Flores;(62) 3448-1137;2535327
Goiás;Formosa;Hospital Regional de Formosa Dr César Saad Fayad;Avenida Maestro João Luiz do Espirito Santo, 450 - Parque Laguna II;(61) 3631-3002/7681;2534967
Goiás;Formosa;UPA Formosa;Via 26 A, s/n - Setor Sul;(61) 3981-1108;6722253
Goiás;Goianésia;Hospital Municipal Irmã Fanny Duran;Rua 33 Esq. C/14, 416 - Centro;(62) 3935-1038/1039;2534584
Goiás;Goiania;Hospital Estadual de Doenças Tropicais Dr. Anuar Auad (HDT);Avenida Contorno, 3556 - Bela Vista;(62) 3201-3673/3748;2506661
Goiás;Goiás;Hospital de Caridade São Pedro D'alcântara;Rua Dr. Couto Magalhães, s/n - Centro;(62) 3371-5150;2343525
Goiás;Goiatuba;Hospital Municipal Dr. Henrique Santillo;Avenida Clovis Rodrigo do Vale, 550 - Setor Oeste;(64) 3495-0067;2340038
Goiás;Hidrolina;Hospital Municipal de Hidrolina;Avenida Antonio Braga, s/n - Aeroporto II;(62) 3349-6234;2534797
Goiás;Iaciara;Hospital Municipal de Iaciara;Avenida Pedro Alexandre de Oliveira, Qd. 3, Lt. 1 - Setor Alto da Boa Vista;(62) 3473-1282;2534940
Goiás;Inaciolândia;Hospital Municipal Jorge Assad Salles;Avenida Goiás, s/n - Dinamar Ribeiro;(64) 3435-1507;2438291
Goiás;Indiara;Hospital Municipal de Indiara;Rua Simon Bolivar Qd. 01 Lt. 01 a 22 Setor Alto Primavera;(64) 3547-3200;2343185
Goiás;Inhumas;UPA Lázaro Alberto de Moraes;Rua Rui Barbosa, s/n - Centro;(62) 3511-2266;7989458
Goiás;Ipameri;Pronto Socorro Municipal Dr. Carlos Antônio Costa Marot;Avenida Dr. Gomes da Frota, 12 - Centro;(64) 3491-6024;5893232
Goiás;Iporá;UPA;Avenida São Paulo, s/n - Mato Grosso;(64) 3603-7276;9541004
Goiás;Itaberaí;Hospital Dr. Gilberto da Silva Caldas;Avenida José Albino Lagares, s/n - Vila Leonor;(62) 3375-1476;2382482
Goiás;Itajá;Hospital Municipal de Itajá;Rua Jacob Rodrigues, 865 - Jardim Planalto;(64) 3648-7019;2438003
Goiás;Itapaci;Hospital Municipal José Peixoto da Silveira Itapaci;Avenida Laura Lins Alencar, 7 - Centro;(62) 3361-1699;2534517
Goiás;Itumbiara;Hospital Municipal Modesto de Carvalho;Rua João Henrique Duarte, s/n - Alto da Boa Vista;(64) 3433-0300;2789647
Goiás;Jaraguá;Hospital Estadual de Jaraguá Sandino de Amorim;Avenida Dioni Gomes Pereira da Silva, s/n - Setor Aeroporto;(62) 3326-1370;2361949
Goiás;Jataí;Hospital das Clínicas Dr. Serafim de Carvalho;Rua Joaquim Caetano, s/n - Divino Espírito Santo;(64) 3632-3700;2535556
Goiás;Jussara;Hospital Municipal Dr. Abiud Ponciano Dias;Avenida Presidente Prudente, 204 - Setor Guanabara;(62) 3373-2050;3795292
Goiás;Luziania;UPA Luziânia;Avenida José do Patrocínio, s/n - Parque Estrela Dalva;(61) 3620-0155/0111;7883668
Goiás;Mambaí;Hospital Municipal de Mambaí;Rua Costa e Silva, s/n - Centro;(62) 3484-1201;2437988
Goiás;Mara Rosa;Hospital Municipal José Inocencio Oliveira de Mara Rosa;Rua Rio de Janeiro, s/n - Vila União;(62) 3366-1764;2569671
Goiás;Minaçu;Hospital Municipal Dr. Ednaldo Barbosa Machado;Avenida Cana Brava, 230 - Centro;(62) 3379-1364;2438313
Goiás;Mineiros;UPA 24 hs;Rua 4 esq/Avenida 5 C, s/n - Marcelino Teodoro;(64) 3661-0303;7813767
Goiás;Monte Alegre de Goiás;Hospital Municipal de Monte Alegre de Goiás;Avenida Bom Jesus, s/n - Setor Palmares;(62) 3457-1166;2534924
Goiás;Morrinhos;Hospital Municipal de Morrinhos;Rua 17, 170 - Setor Aeroporto;(64) 3417-2002;2382466
Goiás;Mozarlândia;Hospital Municipal de Mozarlândia;Rua São Paulo, s/n - Centro;(62) 3348-7657;2535165
Goiás;Mundo Novo;Hospital Municipal Mundo Novo;Rua Cascalheira c/ Avenida Acre, s/n - Gabriel Falchi;(62) 3391-3177;2333988
Goiás;Niquelândia;Hospital e Maternidade Santa Efigênia;Avenida Anhanguera, 86 - Setor Belo Horizonte;(62) 3354-2254/4035;2534789
Goiás;Nova Crixás;Hospital Municipal de Nova Crixás;Alameda Dom Pedro II, s/n - Centro;(62) 3385-3154;2437023
Goiás;Orizona;Ambulatório 24 Horas;Avenida Contorno, s/n - Santa Maria II;(64) 3474-1323;7194498
Goiás;Padre Bernardo;Hospital São Vicente de Paulo;Avenida Martins, s/n - Vila;(61) 3633-1313;2437171
Goiás;Palmeiras de Goiás;Hospital Municipal Dr. Maria Marcia Gonzaga Maria;Rua Dr. José Mendonça Esq./ Couto Magalhães, 149 - Centro;(64) 99952-0077;2383950
Goiás;Parauna;Pronto Socorro Municipal de Parauna;Rua Sebastião da Silva Melo, 19 - Centro;(64) 99997-3487;6277578
Goiás;Piracanjuba;Hospital Municipal de Piracanjuba;Praça Dimas Costa, s/n - Centro;(64) 3405-4065;2442205
Goiás;Pirenópolis;Hospital Estadual Ernestina Lopes Jaime;Rua Pirineus, s/n - Centro;(62) 3331-7500;2437783
Goiás;Pires do Rio;Hospital Municipal Pires do Rio;Rua José Alexandre de Rezende, 28 - Santa Cecília;(64) 3461-4061;2340526
Goiás;Planaltina de Goiás;Hospital Municipal Materno Infantil Santa Rita de Cassia;Quadra 08, 115 - Setor Leste;(61) 3637-8166/2115;2437651
Goiás;Pontalina;UPA Dr. Osires de Urzeda Natal;Rua 6 com Avenida B, s/n - Setor Bela Vista;(64) 3471-1364;247774
Goiás;Porangatu;Hospital Municipal de Porangatu;Rua Goiás, 20 - Jardim Brasília;(62) 3362-5053;110140
Goiás;Posse;Hospital Munic. Dr. Arquimedes Vieira de Brito Posse;Rua Correntina, s/n - Centro;(62) 3481-4927;2382792
Goiás;Quirinópolis;Hospital Municipal Antonio Martins da Costa;Avenida Rui Barbosa, 286 - Centro;(64) 3651-8881/8880;2360470
Goiás;Rio Verde;UPA Dr. José Povoa Mendes;Rua Augusta Bastos, 3276 - Jardim Goiás;(64) 3620-2040;6834477
Goiás;Sanclerlândia;Hospital Municipal São Vicente de Paula;Avenida Norte Sul, 1128 - Centro;(64) 98177-5212;2441500
Goiás;Santa Helena de Goiás;UPA Dom Miguel Pedro Mundo;Avenida Esperidião Paulo Curi Esq./ Alameda Hidelbrand, s/n;(64) 3641-8749;9362185
Goiás;Santa Terezinha de Goiás;Unidade Básica de Saúde PSF 02;Rua Pedro Batista Ferreira, s/n - Centro;(62) 3339-6130;2442337
Goiás;São Domingos;Hospital Municipal de São Domingos;Rua Pedro Matias dos Santos, Qd 10, Lt 01-04 - Setor São Sebastião;(62) 3425-1598;2569701
Goiás;São João D'Aliança;Hospital Municipal Santa Madalena;Rua 08 Esq/ Rua 33, s/n - Label;(62) 3438-1629;2383381
Goiás;São Luís de Montes Belos;Hospital Regional de São Luís de Montes Belos Dr. Geraldo Lando;Rua 3, s/n - Vila Popular;(64) 3671-7000;2382474
Goiás;São Miguel do Araguaia;Hospital Municipal Adailton do Amaral;Rua Pernambuco, s/n - Setor Eliziário;(62) 3977-7122/7127/7123;2382431
Goiás;São Simão;Hospital Municipal de São Simão;Avenida Brasil, 1 - Centro;(64) 3658-1024;2383012
Goiás;Silvânia;Hospital Hospital Nosso Senhor do Bonfim;Avenida Dom Bosco, 978 - Centro;(62) 3332-1761;2769603
Goiás;Sítio D'Abadia;Centro de Saúde de Sítio D'Abadia;Praça da Bandeira, 10 - Centro;(62) 3483-1198;2382814
Goiás;Trindade;UPA de Trindade;Avenida Tiradentes, s/n - Setor Soares;(62) 3577-4595;9058079
Goiás;Uruaçu;UPA;Rua 01, s/n - Setor Boa Vista II;(62) 3357-3886;9138153
Goiás;Vianópolis;Hospital e Maternidade São Sebastião Ltda.;Rua Eugênio Jardim, 99 - Centro;(64) 3335-1160;2441969
Goiás;Vila Boa;Hospital Municipal Osvaldo Ribeiro de Moura;Avenida Saturnino de Brito, s/n - Setor Nova Aurora;(61) 3466-1316;2439883
Maranhão;Açailândia;Hospital Municipal de Açailândia;Rua João de Deus, S/N - GETAT;(99) 99167-1012;2463016
Maranhão;Alto Parnaíba;Hospital Municipal de Alto Parnaíba;Av. Governador José Sarney, S/N - Santa Cruz;(99) 98429-7277;2453126
Maranhão;Arame;Hospital Municipal de Arame;Av. Rio Branco, S/N - Centro;(99) 98811-4354;2463954
Maranhão;Arari;Hospital Jorge Oliveira;Praça Major Pestana, S/N - Centro;(98) 3453-1120;2451573
Maranhão;Alto Alegre do Maranhão;Hospital Regional de Alto Alegre do Maranhão;Rua Tereza Murad, S/N - Centro;(99) 98446-6022;7073224
Maranhão;Alto Alegre do Pindaré;Hospital Municipal João Antonio Santos;Rua Nova, S/N - Centro;(98) 99142-5968;2462192
Maranhão;Amarante do Maranhão;Hospital Municipal São José de Ribamar;Rua 21 de Abril, S/N - Centro;(99) 98419-5982;3667804
Maranhão;Anajatuba;Hospital Municipal Padre Chiquinho;Rua Magalhães de Almeida;Indisponível;2646404
Maranhão;Anapurus;Hospital Municipal Madalena Monteles;Av. João Francisco Monteles, 846 - Centro;(98) 98480-2280;2309580
Maranhão;Apicum-Açu;Hospital Municipal Sebastiana Fonseca Costa;Avenida Candido Reis, s/n - Novo Apicum;Indisponível;7481063
Maranhão;Axixá;Hospital Municipal de Axixá;Avenida Senador Jose Sarney, 132 - Centro;(98) 98453-1395;2308908
Maranhão;Bacabal;Hospital Maria Socorro Brandão;Rua Magalhães de Almeida, 632 - Centro;(99) 3621-5280;2458055
Maranhão;Bacuri;Unidade Basica de Saúde São João Batista;Av. Deputado Cesar Bandeira;(98) 3392-1222;2463989
Maranhão;Bacabeira;UPA Dr Dilamar Fortes;Avenida Humberto de Campos;Indisponível;9475117
Maranhão;Balsas;Hospital e Maternidade Nayla Gonçalo;Praça da amizade, S/N - Cohab I;(99) 3541-2197;2462095
Maranhão;Barra do Corda;UPA 24H Maria Rosa Nepomuceno;BR 226, S/N - Trizidela;(99) 98141-2157;7744293
Maranhão;Barreirinhas;Hospital Regional de Barreirinhas;Avenida 01, 15 Lote PQ das Dunas - Cidade Nova;(98) 98835-8263;7013620
Maranhão;Bacurituba;Centro de Saude de Bacurituba;Rua Beijamin Constant, 1107 - Centro;(98) 99621-8598;2656094
Maranhão;Barão de Grajaú;Hospital Municipal Barjonas Lobão;Avenida BR 230 KM 04, S/N - Centro;(98) 3523-1907;2460343
Maranhão;Brejo;Hospital Municipal Dr. Antenor Vieira de Moraes;Planalto Santo Antonio, S/N - Centro;(98) 98319-4746;2531801
Maranhão;Bequimão;Hospital Municipal Lídia Martins;Av. Itapetininga, S/N - São Luisinho;(98) 98118-9452;2726688
Maranhão;Bela Vista do Maranhão;Hospital Municipal Antonio Moraes da Silva;Rua Nossa Senhora da Conceição, S/N - Centro;(98) 98813-9344;7572883
Maranhão;Bom Jardim;Hospital DR Antonio Lopes Varão;Av. V José Pedro Vasconcelos, S/N - Centro;(98) 99227-0267;2530031
Maranhão;Bom Jesus das Selvas;Hospital Municipal Bom Jesus das Selvas;Rua Adailton Lopes, S/N - Nestor Lemes;(98) 98839-7768;2531771
Maranhão;Buriticupu;UPA 24H de Buriticupu;Av. João Paulo II, S/N - Ecoburiticupu;Indisponível;9961011
Maranhão;Buriti Bravo;Hospital Municipal Zuza Coelho;Rua Joaquim Leite, s/n - Laranjeiras;(98) 98837-4209;2307898
Maranhão;Caxias;UPA Dr Fernando Vieira Chaves;Avenida Pirajá, S/N - Pirajá;(99) 98110-1924;9037780
Maranhão;Carolina;Complexo Hospitalar Gentil Filho;Rua Rio de Janeiro, nº 220 - Centro;(99) 98823-5600;3388301
Maranhão;Cajapió;Hospital Municipal Dr Heber Maranhão;Av. Frederico Martins de Azevedo;(99) 3531-2332;2449439
Maranhão;Cajarí;Hospital Municipal de Cajari;Rua Manoel Mendonça, S/N - Centro;(98) 98833-9181;2646447
Maranhão;Campestre do Maranhão;Hospital Municipal de Campestre do Maranhão;Av. do Aeroporto, S/N - Bairro de Lourdes;(98) 98436-8335;2461714
Maranhão;Capinzal do Norte;Hospital Municipal São Jose;Av. Lindolfo Floro;Indisponível;2726637
Maranhão;Carutapera;Hospital Regional de Carutapera;Rua Deputado Manoel Ribeiro, S/N - Centro;(98) 98429-7081;2463784
Maranhão;Cantanhede;Hospital Santa Filomena;Praça Paulo Rodrigues - Centro;(98) 3463-2596;2307510
Maranhão;Coelho Neto;UPA de Coelho Neto;MA 034, Olho Daguinha;Indisponível;9005064
Maranhão;Chapadinha;UPA José Oliveira Nunes;Av. Principal, S/N - Centro;(98) 99161-9750;9196099
Maranhão;Codó;Hospital Geral Municipal Dr. Marcolino Junior;Rua Desembargador Vasconcelos Torres, S/N - São Francisco;(99) 98854-5716;2449641
Maranhão;Coroatá;UPA de Coroatá;Avenida da Bandeira, S/N - Centro;(99) 99113-6834;6870805
Maranhão;Colinas;Hospital Municipal Nossa Senhora da Consolação;Rua Bela Vista, 1000 - Serrinha;(99) 98849-7359;2697947
Maranhão;Conceição do Lago Açu;Hospital da Criança e Mulher de Colinas;Rua Rui Barbosa, 321 - Centro;(99) 3552-1602;2726645
Maranhão;Cururupu;Serviço de Pronto Atendimento;Av. Liberalino Miranda, S/N - Centro;Indisponível;2454688
Maranhão;Dom Pedro;Hospital Geral Municipal de Dom Pedro;Rua Duque de Caxias;(98) 3662-1151;2702746
Maranhão;Duque Bacelar;Hospital Pedro dos Santos Oliveira;Rua Fernando Ferrari;(98) 3474-1321;2646560
Maranhão;Estreito;Hospital Municipal de Estreito;Av. Tancredo Neves, S/N - Centro;(99) 98153-1107;2310821
Maranhão;Esperantinópolis;Hospital Santa Marta;Rua 07 de Setembro;Indisponível;2455625
Maranhão;Feira Nova do Maranhão;Unidade Mista Luso Rocha;Rua Tocantins - Centro;(99) 3601-1035;2465086
Maranhão;Fernando Falcão;Hospital Geral Fernando Falcão;Av. José Ferreira de Santana;Indisponível;7639724
Maranhão;Formosa da Serra Negra;Unidade Mista de Saude Otavio Lima de Arruda;Rua Silva Jardim, S/N - Vila Viana;(99) 98213-5211;2460580
Maranhão;Fortaleza dos Nogueiras;Unidade Mista Casa de Saude Ovidia Coelho Nogueira;Rua Aristeu Nogueira - Centro;(99) 98234-3816;2449552
Maranhão;Grajaú;Hospital Regional de Grajau;Rua Projetada, S/N - Vila São Roque;(99) 99110-0350;6957501
Maranhão;Guimarães;Hospital Municipal de Guimaraes;Rua Emílio Habibe, S/N - Centro;(98) 98236-6448;4007514
