Estado;Município;Unidade de Saúde;Endereço;Contato;CNES
Amapá;Serra do Navio;Unidade Mista de Saúde de Serra do Navio;Travessa A1, 529 - Vila Intermediaria;Indisponível;2021382
Amapá;Tartarugalzinho;Unidade Mista de Saúde de Tartarugalzinho;Rua Mãe Veronica, 768 - Centro;Indisponível;2019671
Amapá;Vitoria do Jari;Unidade Mista de Saúde de Vitoria do Jari;Avenida Ayrton Senna, 1180 - Comercial;Indisponível;2020149
Amapá;Oiapoque;UBSI Manga;DSEI AP POLO BASE DE SAUDE INDIGENA MANGA ;Indisponível;2021137
Amapá;Oiapoque;UBSI Kumenê;DSEI AP POLO BASE DE SAUDE INDIGENA KUMENÊ;Indisponível;2021102
Amapá;Pedra Branca;UBSI Aramirã;DSEI AP POLO BASE DE SAUDE INDIGENA ARAMIRÃ;Indisponível;2021412
Pará;Óbidos;UBSI Bona Apalai;DSEI POLO BASE BONA APALAI;Indisponível;494747
Pará;Almerim;UBSI Missão Tiriyó;POLO-BASE TIPO I - MISSÃO TIRIYO;Indisponível;494402
Pará;Almerim;UBSI Kuxaré;POLO-BASE TIPO I - MISSÃO TIRIYO;Indisponível;2916118
Amazonas;Alvarães;Unidade Mista de Alvarães;Estrada Alvarães Nogueira, s/n - Centro;(97) 3345- 1204/1255;2017768
Amazonas;Amaturá;Unidade Mista de Amaturá - Hospital Frei Roberto San Severino;Rua Antonieta Zao, s/n - Centro;(97) 3463-1128;2016648
Amazonas;Anamã;Unidade Mista de Anamã - Hospital Francisco Sales de Moura;Rua Alvaro Maia, 106 - Centro;(97) 3356-1239;2017679
Amazonas;Anori;Unidade Hospitalar de Anori - Hospital Darlinda Ribeiro;Avenida N. Sra. do Perpétuo Socorro, s/n - São Sebastião;(97) 3352-1260;2017379
Amazonas;Apuí;Unidade Mista de Apuí - Hospital Eduardo Braga;Avenida Engº Talles Monte Razo, s/n - Vila Nova;(97) 3389-1219;2013282
Amazonas;Atalaia do Norte;Unidade Mista de Atalaia do Norte - Hospital São Sebastião;Rua Augusto Luzeiro, s/n - Centro;(97) 3417- 1115/1152;2016672
Amazonas;Atalaia do Norte;1º Pelotão Especial de Fronteira - PEF (Exército-8º BIS);Comunidade de Palmeira do Javari;Indisponível;Indisponível
Amazonas;Atalaia do Norte;4º Pelotão Especial de Fronteira - PEF (Exército-8º BIS);Comunidade de Estirão do Equador;Indisponível;Indisponível
Amazonas;Atalaia do Norte;Polo Base Alto Ituí;Comunidade Vida Nova;Indisponível;7159277
Amazonas;Atalaia do Norte;Polo Base Médio Curuçá;Comunidade São Sebastião;Indisponível;7159293
Amazonas;Autazes;Unidade Mista de Autazes;Rua Francisco Barroncas, s/n - Centro;(92) 3317- 1231/1335;2013045
Amazonas;Barcelos;Unidade Mista de Barcelos;Rua Dorval Porto, 1136 - Centro;(97) 3321-1122;2015242
Amazonas;Barreirinha;Unidade Mista de Barreirinha;Rua Terra Preta do Castanhal, s/n - São Judas Tadeu;(92) 3531- 8125/7059;2012022
Amazonas;Barreirinha;Polo Base Araticum;Rio Andirá;Indisponível;7406150
Amazonas;Benjamin Constant;Hospital Geral Dr. Melvino de Jesus;Rua 13 de Maio, 1492 - Coimbra;(97) 3415- 5246/6240;2016974
Amazonas;Beruri;Hospital Antonio Ferreira Campos;Avenida Costa e Silva, s/n - São Francisco;(97) 3351-1142;2016605
Amazonas;Boa Vista do Ramos;Unidade Mista de Boa Vista do Ramos;Estrada Presidente Figueiredo, s/n - Centro;(97) 3545- 5158/7179;2016354
Amazonas;Boca do Acre;Unidade Hospitalar de Boca do Acre;Rua Coronel José Assunção, s/n - Plator do Piquiá;(97) 3451-2157;2012499
Amazonas;Borba;Hospital Vó Mundoca;Rua Silverino Nery, s/n - Centro;(92) 3512- 1526/1104;2012383
Amazonas;Caapiranga;Unidade Hospitalar Odilon Alves de Araújo;Rua Félix Amorim, s/n - Santa Luzia;(92) 3364-1040;2016656
Amazonas;Canutama;Hospital Regional de Canutama Dr. Leonardo Parente;Avenida Botinelly, 213 - Centro;(97) 3334- 1337/1068;2016419
Amazonas;Carauari;Hospital Unidade Mista de Carauari;Rua Celino de Menezes, 1672 - Nova República;(97) 3491- 1116/1350;2017555
Amazonas;Careiro Castanho;Hospital Deoclécio dos Santos;BR 319 Km 102 - Centro;(92) 3362- 1092/1137;2017652
Amazonas;Careiro da Várzea;Unidade Hospitalar de Careiro da Várzea;Rua Walmir Bezerra, Centro;Indisponível;2016915
Amazonas;Coari;Hospital Regional de Coari Dr. Odair Carlos Geraldo;Estrada CoariMamiá, 490 - Espírito Santo;(97) 3561-4141;2018136
Amazonas;Codajás;Hospital João da Silva Bastos;Rua Padre Domingos, s/n - Santa Luzia;(97) 3353-0090;2019523
Amazonas;Eirunepé;Unidade Hospitalar de Eirunepé;Rua Padre Hosphel, 1181 - Nossa Senhora Aparecida;(97) 3481- 1428/3198;2016397
Amazonas;Envira;Unidade Hospitalar Evaristo Rates da Silva;Rua 27 de julho, 306 - São Francisco;(97) 3483-1045;2708892
Amazonas;Fonte Boa;Hospital Regional de Fonte Boa;Rua Ajuricaba, s/n - Centro;(97) 3423-1690;2017717
Amazonas;Guajará;Hospital João Miguel da Cruz Barbosa;Rua Presidente Vargas, s/n - Centro;(97) 3485-1148;2017997
Amazonas;Humaitá;Hospital Dra. Luiza da Conceição Fernandes;Rua 05 de setembro, 522 - Centro;(97) 3373- 2190/1104;2017016
Amazonas;Ipixuna;Unidade Hospitalar de Ipixuna;Avenida João Hercules Primo, s/n - Torre;(97) 3482- 1073/1067;2013614
Amazonas;Iranduba;Hospital Hilda Freire;Travessa Juruá, s/n - Centro;(92) 3367- 2302/2107;2012839
Amazonas;Itacoatiara;Hospital Regional José Mendes;Rua Castro Leite, 2593 - Iraci;(92) 3521- 4215/4220;2016923
Amazonas;Itamarati;Unidade Hospitalar Antonio de Souza Brito;Rua Major Maia, s/n - Centro;(97) 3484-1072;2013568
Amazonas;Itapiranga;Hospital Miguel Batista de Oliveira;Rua Bárbara Miranda, s/n - Centro;(92) 3575-2112;2708906
Amazonas;Japurá;Hospital Mayara Redman A. Aziz;Avenida Juscelino Kubtscheck, s/n - Centro;(97) 3426-1195;2013495
Amazonas;Japurá;3º Pelotão Especial de Fronteira do Exército – PEF (Exército 8º BIS);Comunidade Vila Bitencourt;Indisponível;Indisponível
Amazonas;Juruá;Unidade Mista de Juruá;Rua Samuel Amaral, 13 - Centro;(97) 3427-1109;2708914
Amazonas;Jutaí;Unidade Hospitalar de Jutaí;Rua 7 de março, s/n - Centro;(97) 3425-1132;2011875
Amazonas;Jutaí;Polo Base Boca do Biá;Comunidade Boca do Biá;Indisponível;7340923
Amazonas;Lábrea;Unidade Mista de Lábrea;Rua Coronel Luiz Gomes, s/n - Centro;(97) 3331-1465;2012618
Amazonas;Lábrea;Polo Base Crispim;Terra Indígena Lago Mahara;Indisponível;9425578
Amazonas;Lábrea;Polo Base Marrecão;Aldeia Marrecão T I Deni;Indisponível;9472878
Amazonas;Manacapuru;Hospital Regional de Manacapuru Lázaro Reis;Estrada Manoel Urbano - KM 83 - São José;(92) 3361-1907;2013258
Amazonas;Manaquiri;Hospital Raimundo Rodrigues Irmãos;Rua Bom Pastor, s/n - Centro;(92) 3363-1323;2011891
Amazonas;Manaus;Fundação de Medicina Tropical;Avenida Pedro Teixeira, 25 - Dom Pedro I;(92) 2127-3471;2013606
Amazonas;Manicoré;Hospital Regional de Manicoré Dr. Hamilton Cidade;Travessa 24 de outubro, s/n - Centro;(97) 3385- 1043/1040;2014688
Amazonas;Manicoré;Polo Base Boca do Jauari;Rio Madeira Aldeia Boca do Jauari;Indisponível;7800339
Amazonas;Maraã;Unidade Mista de Maraã;Avenida 25 de março, s/n - Centro;(97) 3428-1099;2017660
Amazonas;Maraã;Centro de Saude Maximo Maia da Silva O Coruja;Comunidade São Pedro do Cuiu Cuiu;Indisponível;5625300
Amazonas;Maués;Hospital Raimunda Francisca Dinelly da Silva;Estrada dos Moraes, 898 - Maresia;(92) 3542- 1112/3222;2018144
Amazonas;Maués;Polo Base Nova Esperança;Aldeia Nova Esperança;Indisponível;7651708
Amazonas;Nhamundá;Hospital Coronel Pedro Macedo;Rua Senador Álvaro Maia, 23 - Centro;(92) 3534- 7624/7300;2016540
Amazonas;Nova Olinda do Norte;Hospital Dr. Galo Manuel Ibañez;Rua 7 de setembro, 364 - Santa Luzia;(92) 3318- 1207/1227;2011905
Amazonas;Nova Olinda do Norte;Polo Base Kwatá;Rio Canuma;Indisponível;5359198
Amazonas;Novo Airão;Unidade Hospitalar de Novo Airão;Avenida João Tiburtino da Silva, s/n - Centro;(92) 3365-1535;2708922
Amazonas;Novo Aripuanã;Hospital Regional de Novo Aripuanã;Rua Raimundo Oliveira, s/n - Tucumã;(97) 3379- 1481/1101;2019604
Amazonas;Parintins;Hospital Regional Jofre Matos Cohen;Rua Herberth Azevedo, 985 - Santa Clara;(92) 3533-4158;3210243
Amazonas;Pauini;Ambulatório Municipal Mario Said;Rua 19 de março, 536 - Cidade Alta;(97) 3458- 1253/1132;2018381
Amazonas;Presidente Figueiredo;Hospital Geral Evaldo Neves Falcão;BR 174 Km 107 - Centro;(92) 3324-1005;2013320
Amazonas;Presidente Figueiredo;Hospital de Balbina;Rua Rio Negro, s/n - Vila de Balbina;(92) 3312-1200;7132026
Amazonas;Rio Preto da Eva;Hospital Thomé de Medeiros Raposo;Rua Gov. Angelo do Amaral, s/n - Centro;(92) 3358-1135;2708930
Amazonas;Santa Isabel do Rio Negro;Unidade Mista de Santa Isabel do Rio Negro;Rua Danilo Correa, s/n - Centro;(97) 3441- 1944/1138;2016478
Amazonas;Santo Antônio do Içá;Unidade Hospitalar Dom Adalberto Marzzin;Rua Hugo Ribeiro, s/n - Santa Etelvina;(97) 3461- 1959/1182;3220966
Amazonas;Santo Antônio do Içá;3º Pelotão Especial de Fronteira do Exército – PEF (Exército 8º BIS);Comunidade Ipiranga;Indisponível;Indisponível
Amazonas;São Gabriel da Cachoeira;Hospital de Guarnição de São Gabriel da Cachoeira;Rua Quitino de Sá Cavalcante, s/n - Dabarú;(97) 3471- 1413/1475;4004787
Amazonas;São Gabriel da Cachoeira;Unidade Mista de Iauaretê;Rua da Missão - Vila de Iauaretê - Área Indígena Iauaretê;Indisponível;2717387
Amazonas;São Gabriel da Cachoeira;Polo Base Iauaretê;Vila São Miguel;Indisponível;9493190
Amazonas;São Gabriel da Cachoeira;Polo Base Pari-Cachoeira;Rio Tiquie;Indisponível;9493433
Amazonas;São Paulo de Olivença;Unidade Mista de São Paulo de Olivença;Rua Monsenhor Evangelista, 309 - Centro;(97)3431- 1482/1043;2018128
Amazonas;São Paulo de Olivença;Polo Base Vendaval;Comunidade Vendaval;Indisponível;6771513
Amazonas;São Sebastião do Uatumã;Hospital Rosa Fabiana Falabella;Rua Álvaro Maia, s/n - Santa Maria;(92) 3572- 1391/1107;2011859
Amazonas;Silves;Unidade Mista Zalina Garcia;Rua Eduardo Garcia, 26 - Centro;(92) 3528- 2156/2115;2016249
Amazonas;Tabatinga;Hospital de Guarnição;Avenida da Amizade, s/n - Centro;(97) 3412-2403;2016125
Amazonas;Tabatinga;Unidade de Pronto Atendimento - Maternidade Celina Villacrez Ruiz;Rua Primeiro de Fevereiro, 271;(97) 3412-4881;7459750
Amazonas;Tabatinga;Polo Base Belém do Solimões;Cimunidade de Belém do Solimões;Indisponível;6992803
Amazonas;Tapauá;Hospital Ana Tereza Ponciana;Avenida Castelo Branco, s/n - Centro;(97) 3391- 1128/1249;2012553
Amazonas;Tefé;Hospital Regional de Tefé;Estrada do Bexiga, s/n - Fonte Boa;(97) 3343- 2446/2469;2016141
Amazonas;Tonantins;Hospital Frei Francisco;Rua Valentina Santos, s/n - Centro;(97) 3464-1222;2012804
Amazonas;Uarini;Hospital Regional Francisco Lopes;Avenida Franco Lopes, s/n - Centro;(97) 3346-1411;2016443
Amazonas;Urucará;Unidade Mista de Urucará;Rua Major Lobato Mendes, s/n - Santa Luzia;(92) 3571-1657;2717395
Amazonas;Urucurituba;Hospital Silvério Pontes;Rua Armandinho Fernandes, 15 - Centro;(92) 3524-7137;2016567
Bahia;Abaíra;Hospital Municipal Odin Melo;Av. Carlito Costa, 16 - Centro;(77) 3476-2496;6556450
Bahia;Alcobaça;Hospital Municipal São Bernardo;Rua Nova viçosa, 1083, Jradin Atlantico;(73) 99936-6008;2304848
Bahia;Amargosa;Hospital Municipal de Amargosa;Rua Dr. Aloísio Borges, s/n – Santa Rita;(75) 3634-3573;2414244
Bahia;Anagé;Hospital Municipal Tavina de Oliveira;Rua Juíz Clarindo Lacerda;(77) 99908-4933;3827127
Bahia;Andaraí;Hospital Municipal de Andaraí;Av. Paraguassu, 2 - Centro;(75) 3335-2083;4021460
Bahia;Andorinha;UPA Plabo Campos;Rua Ouricuri, Bairro Carlos Santana.;(74) - 99107-1325;4021495
Bahia;Antas;Hospital Nossa Senhora de Lurdes;Rua do Clube, s/n - Centro;(75) 3277-1147;2799820
Bahia;Antas;Hospital Santa Maria;Rua Dr. Juarez Guerra, 18 - Centro;(75) 3277-1163;2799847
Bahia;Araçás;Unidade Mista Julia Trindade Leal;Rua Antonio Paolilo, 54 - Centro;(75) 3451-2162;2512084
Bahia;Barra da Estiva;Hospital Suzy Zanfreta;Rua Padre Gaspar Bertoni, 51 - Centro;(77) 3450-1120;2799855
Bahia;Barra do Choça;Hospital Municipal Dr José Maria de Magalhães Neto;Rua Deocleciano Monteiro, s/nº - Centro;(77) 3436-3025;2722844
Bahia;Barreiras;Hospital do Oeste;Rua do Antigo Aeroporto, 1264 - São Pedro;(77) 3612-9400;3972925
Bahia;Belmonte;Hospital José da Costa Pinto Dantas;Rua Saldanha da Gama, s/n - Centro;(73) 3287-2991;2413922
Bahia;Belo Campo;Hospital Municipal Vicente Vieira;Rua Pacífico Nunes, 100 - Alvorada;(77) 3437-2672;2304953
Bahia;Boa Vista do Tupim;Hospital Geral de Boa Vista do Tupim;Largo da Saúde, s/n - Centro;Indisponível;2771268
Bahia;Bom Jesus da Lapa;Hospital Municipal Carmela Dutra;Av . Manoel Novais, 1022 - Centro;(77) 3481-4215;4022718
Bahia;Bom Jesus da Serra;Hospital Municipal de Bom Jesus da Serra;Rua Júlio José Alves, s/n - Centro;(77) 3461-1549;4022750
Bahia;Boninal;Hospital Marcus Allan de Castro Rocha;Av. Brito, s/n - Centro;(75) 3330-2306;2523515
Bahia;Bonito;Maternidade Municipal Deputado José Carlos Araujo;Praça Cirlene Baraúna, s/n – Centro;(75) 3343-2137;3246558
Bahia;Boquira;Hospital Municipal de Boquira;Praça Delegado Mario Rodrigues da Silva, 100 – Centro;(77) 3645-2033;4022807
Bahia;Botuporã;Hospital Municipal e Maternidade de Botuporã;Rua D. Pedro II 77;9102-5223 (77) 98160-4761;2386305
Bahia;Brejões;Hospital Municipal Joana Cajaíba de Andrade;Trav. Milton Galvão, s/n - Centro;(75) 3654-2129;2801590
Bahia;Brotas de Macaúbas;Unidade Básica de Saúde 24h de Brotas de Macaúbas;Praça da Bandeira, 15 – Centro;(77) 3644-2019;6485235
Bahia;Brumado;Hospital Municipal Professor Magalhães Neto;Rua Manoel Fernandes, 87 – Jardim Brasil;(77) 3441-6780;2386569
Bahia;Buritirama;Hospital Maternidade Nossa Senhora da Luz;Av. Prefeito Arival Viana, 716 - Centro;(77) 3442-2179/2144;2386674
Bahia;Caatiba;Hospital Municipal de Caatiba;Rua Augusto Asterio, s/n - Centro;Indisponível;2386739
Bahia;Cachoeira;Hospital São João de Deus;Praça Dr. Aristides Milton, s/n - Centro;(75) 3425-4040/4000;2386879
Bahia;Caetanos;Centro de saúde de Caetanos;Avenida Tanhaçu, s/nº - Bairro Terra Branca;(77) 98123-6657;2387115
Bahia;Caetité;Centro de saúde Dra. Lara Fernandes Teixeira;R. Rui Barbosa, S/N, Centro;(77)3466 2111;2556901
Bahia;Caetité;UPA de Caetité;Rodovia CaetitéGuanambi, s/n - Rancho Alegre;(77) 3454-8061;2557096
Bahia;Camaçari;HGC - Hospital Geral de Camaçari;Av. Jorge Amado, s/n, Via Parafuso - Jardim Limoeiro;(71) 3621-2277;2388057
Bahia;Campo Alegre de Lourdes;Hospital Municipal de Campo Alegre de Lourdes;Rua Coronel Lindolfo Dias, s/n - Pedro Alcântara;(74) 3533-2264;6600476
Bahia;Campo Formoso;União Hospitalar São Francisco;Praça Frei Lino Grasiage, 258 - Centro;(74) 3645-1217;2799839
Bahia;Canápolis;Hospital Municipal Mãe Simoa;Av. Faustino de Queiroz, s/n - Centro;(77) 3687-2190;2602571
Bahia;Candeias;Hospital Municipal de Candeias;Loteamento Jardim Ouro Negro, s/n - Ouro Negro;(71) 3601-1814;2387581
Bahia;Canudos;Hospital Municipal Genário Rabelo de Alcântara;A. Enoque Canário Araújo, S/N- Centro;(75)3494 2165;2597586
Bahia;Carinhanha;Hospital Municipal de Carinhana;Rua Francisco Timóteo, s/n - Centro;(77) 3485-2038;4024303
Bahia;Casa Nova;Hospital Municipal de Casa Nova;Rua 02, s/n - Centro;(74) 3536-2261;2388928
Bahia;Castro Alves;Hospital Regional de Castro Alves;Conjunto Urbis l, s/n - Centro;(75) 3522-1410;2602075
Bahia;Catu;Hospital Municipal de Catu;Rua Geonísio Barroso, s/n - Boa Vista;(71) 3641-2742/2185;2388685
Bahia;Cícero Dantas;Hospital Municipal Luiz Eduardo Magalhães;Rua Edgar Santos, 106 - Centro;(75) 3278-1993;2532522
Bahia;Côcos;Hospital Municipal São Sebastião;Praça Virgílio Bandeira, S/n – Centro;(77) 3489-1583/1166;2389584
Bahia;Conde;Hospital Givaldo Fontes Costas;Rua Altamirando Requião, s/n - Centro;(75)3429-1152;2512149
Bahia;Condeúba;Hospital Municipal Dr. José Cardoso dos Apóstolos;Praça Alcides Cordeiro, s/n - São Francisco;(77) 3435-2023;2801566
Bahia;Cordeiros;Hospital Municipal Joaquim Mutti de Carvalho;Rua Ruy Barbosa, s/n – Estrada Cordeiros Condeuba km 0;(77) 3447-2162;5446333
Bahia;Coribe;Hospital Municipal Antônio Joaquim Lopes;Rua Clériston Andrade, s/n - Centro;(77) 3480-2119;2801558
Bahia;Correntina;Hospital Municipal Dr. Lauro Joaquim de Araújo;Av. Tancredo Neves, s/n - Colina Azul;(77) 3488-3246;2101547
Bahia;Cruz das Almas;UPA - Unidade de Pronto Atendimento;Av. Carmelito Barbosa Alves, 110 - Itapicuru;0800 000 3261;7111606
Bahia;Curaçá;Hospital Dr. Jaime da Silveira Coelho;Av. Euvaldo Torres de Aquino, s/n - Centro;(74) 3531-1118;2400901
Bahia;Dom Basilio;Hospital Maternidade Dr. Marilton Tanajura Matias;Rua Dom Helio Pascoal, s/n - Centro;(77)981142118;2602563
Bahia;Elísio Medrado;Casa de Saúde Maria Lapa Bittencourt;Rua Nossa Senhora de Fátima;(75) 3649-2129;4025121
Bahia;Encruzilhada;Hospital Municipal Milton Rocha Souza;Rua Clemente Batista Soares, s/n - Fortaleza;(77) 3439-2157;4025148
Bahia;Entre Rios;Hospital Municipal de Entre Rios;Rua Lauro de Freitas, 86 - Centro;(75) 3420 3438;2620464
Bahia;Esplanada;Hospital São Francisco e São Vicente;Av. São Francisco, 318 - Centro;(75) 3427-1523/1360;2627183
Bahia;Euclides da Cunha;UPA Dr. Aristides Freitas de Queiroz;Av. Renato Campos, s/n - Pau Miúdo;(75) 3271-3883;9130411
Bahia;Eunápolis;Hospital Regional de Eunápolis;Av. Princesa Isabel, 750 - Pequi;(73) 3281-9200;2507447
Bahia;Feira da Mata;Hospital Municipal de Feira da Mata;Pça Pref Elias Pereira de Souza Filho;(77) 99846-2395;3013359
Bahia;Feira de Santana;Hospital Geral Clériston Andrade;Av. Eduardo Fróes da Mota, s/n - 35 BI;(75) 3602-3300/3626-6438;2799758
Bahia;Filadélfia;Hospital São Sebastião;Av. ACM, s/n - Centro;(74) 3551-2201;2401665
Bahia;Gandu;Hospital João Batista Assis;Loteamento João Assis, s/ nº - João Assis;(73) 3254-1250;2412381
Bahia;Gentio do Ouro;Hospital Municipal Getúlio Reginaldo Cunha;Rua Antônio Mariano Barreto, 64 - Centro;(74) 3637-2001;2402394
Bahia;Guanambi;Hospital Regional Guanambi;Rua Dr. José Humberto Nunes, 1750 – Paraíso;(77) 3451-6060;2804034
Bahia;Guaratinga;Hospital Maternidade Joana Moura;Rua Iracema Moura, 289 – Centro;(73) 3277-2311;2412276
Bahia;Iaçu;Hosp. Municipal Dr. Waldir Cavalcanti Medrado;Rodovia BA 046 – Km 01 – Bairro Cerâmica;(75) 3325-3030/2303;2772671
Bahia;Ibiassucê;Hospital Municipal de Ibiassucê;Avenida Rui Barbosa;(77)34652237;2412551
Bahia;Ibicoara;Unidade de Saúde Retaguarda - 24 horas;Praça José Novais Pina, 26 – Centro;(77) 3413-2196;3862984
Bahia;Ibicuí;Hospital Maternidade Anita Rodrigues Leal;Rua Artur Pires, 10 - Centro;(73) 3272-2943;2412845
Bahia;Ibirapitanga;Hospital Municipal Edvaldo Magalhães Nascimento;Rua Israel Barcelos, s/n - Centro;Indisponível;2413043
Bahia;Ibitiara;Hospital Padre Aldo Coppola;Rodovia BA 152, 1000 – Centro;(77) 3647-2209;2412713
Bahia;Ibotirama;Hospital Regional de Ibotirama;Av. JK, s/n - São Francisco;(77) 3698-1212;2602121
